grammar,version,run,cve,found,evidence
EBNF-Baseline,3.32.0,5,CVE-2020-13434,False,no matching crash found
EBNF-Baseline,3.32.0,5,CVE-2020-13435,False,no matching crash found
EBNF-Baseline,3.32.0,5,CVE-2020-13871,N/A,
EBNF-Baseline,3.32.0,5,CVE-2020-15358,N/A,
EBNF-Baseline,3.32.2,1,CVE-2020-13434,N/A,
EBNF-Baseline,3.32.2,1,CVE-2020-13435,N/A,
EBNF-Baseline,3.32.2,1,CVE-2020-13871,False,no matching crash found
EBNF-Baseline,3.32.2,1,CVE-2020-15358,False,no matching crash found
EBNF-Baseline,3.32.2,2,CVE-2020-13434,N/A,
EBNF-Baseline,3.32.2,2,CVE-2020-13435,N/A,
EBNF-Baseline,3.32.2,2,CVE-2020-13871,False,no matching crash found
EBNF-Baseline,3.32.2,2,CVE-2020-15358,False,no matching crash found
EBNF-Baseline,3.32.2,3,CVE-2020-13434,N/A,
EBNF-Baseline,3.32.2,3,CVE-2020-13435,N/A,
EBNF-Baseline,3.32.2,3,CVE-2020-13871,False,no matching crash found
EBNF-Baseline,3.32.2,3,CVE-2020-15358,False,no matching crash found
EBNF-Baseline,3.32.2,4,CVE-2020-13434,N/A,
EBNF-Baseline,3.32.2,4,CVE-2020-13435,N/A,
EBNF-Baseline,3.32.2,4,CVE-2020-13871,False,no matching crash found
EBNF-Baseline,3.32.2,4,CVE-2020-15358,False,no matching crash found
EBNF-Baseline,3.32.2,5,CVE-2020-13434,N/A,
EBNF-Baseline,3.32.2,5,CVE-2020-13435,N/A,
EBNF-Baseline,3.32.2,5,CVE-2020-13871,False,no matching crash found
EBNF-Baseline,3.32.2,5,CVE-2020-15358,False,no matching crash found
